timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1618573802729,2141,POST,200,OK,create_user 1-1,text,true,,387,362,5,5,https://petstore.swagger.io/v2/user,2135,0,1903
1618573803072,1798,POST,200,OK,create_user 1-4,text,true,,387,362,5,5,https://petstore.swagger.io/v2/user,1792,0,1550
1618573802736,2134,POST,200,OK,create_user 1-2,text,true,,387,362,5,5,https://petstore.swagger.io/v2/user,2128,0,1887
1618573802872,1998,POST,200,OK,create_user 1-3,text,true,,387,362,5,5,https://petstore.swagger.io/v2/user,1992,0,1758
1618573803300,1570,POST,200,OK,create_user 1-5,text,true,,387,362,5,5,https://petstore.swagger.io/v2/user,1564,0,1326
1618573804949,220,LOGIN,200,OK,create_user 1-4,text,true,,482,183,5,5,https://petstore.swagger.io/v2/user/login?UN=swa&PW=123456,220,0,0
1618573804951,221,LOGIN,200,OK,create_user 1-2,text,true,,482,183,5,5,https://petstore.swagger.io/v2/user/login?UN=swa&PW=123456,221,0,0
1618573804951,225,LOGIN,200,OK,create_user 1-3,text,true,,482,183,3,3,https://petstore.swagger.io/v2/user/login?UN=swa&PW=123456,225,0,0
1618573804948,233,LOGIN,200,OK,create_user 1-5,text,true,,482,183,2,2,https://petstore.swagger.io/v2/user/login?UN=swa&PW=123456,233,0,0
1618573804955,227,LOGIN,200,OK,create_user 1-1,text,true,,482,183,2,2,https://petstore.swagger.io/v2/user/login?UN=swa&PW=123456,226,0,0
